char,indices
 ,1
e,2
t,3
a,4
o,5
i,6
n,7
s,8
r,9
"
",10
l,11
c,12
d,13
h,14
u,15
p,16
m,17
f,18
.,19
g,20
b,21
y,22
",",23
w,24
v,25
),26
(,27
_,28
T,29
x,30
k,31
P,32
',33
I,34
S,35
>,36
:,37
-,38
E,39
C,40
N,41
A,42
O,43
j,44
=,45
R,46
1,47
0,48
L,49
F,50
3,51
2,52
"""",53
D,54
U,55
M,56
q,57
z,58
*,59
/,60
B,61
W,62
’,63
4,64
[,65
],66
H,67
5,68
;,69
6,70
G,71
9,72
8,73
7,74
#,75
Y,76
—,77
+,78
V,79
\,80
 ,81
”,82
“,83
K,84
<,85
X,86
%,87
{,88
},89
?,90
|,91
Q,92
Z,93
!,94
J,95
‘,96
–,97
$,98
&,99
@,100
^,101
…,102
~,103
`,104
