char,count
],4160
},1160
<,1325
p,112344
j,11843
),38082
±,5
π,5
ê,3
ä,1
C,13711
U,7200
&,294
È,1
Ⅸ,1
w,47860
P,21812
[,4171
∞,10
İ,2
S,16498
Z,707
ç,4
σ,1
μ,3
!,526
d,154674
”,1472
Q,713
A,13011
;,3501
r,283050
😉,1
L,9641
m,109599
—,1704
l,188604
H,4001
=,11804
I,17848
g,76657
B,4866
f,100816
e,562492
5,3846
à,1
á,1
Ⅶ,1
ī,1
W,4593
→,13
ö,5
‘,414
è,1
h,153854
1,10404
#,2290
♞,2
x,25391
R,11315
*,5796
q,6071
…,145
^,166
©,7
²,3
k,22986
O,12022
0,9982
8,2491
@,287
_,34051
“,1465
€,2
`,65
t,418978
J,498
K,1387
X,1273
',21240
+,1650
%,1178
\,1628
:,15497
o,312847
E,14669
Í,1
ß,4
Ⅰ,1
−,4
y,71674
" ",1620
z,5983
K,2
/,4926
V,1640
τ,2
♟,1
3,8343
6,3248
‣,10
9,2535
u,131190
-,15383
|,771
ſ,3
ā,1
c,166342
(,38068
ü,3
$,366
4,4363
Ü,1
Ł,4
n,308036
"
",197403
É,1
T,26751
–,380
2,8185
é,13
ñ,1
’,4483
{,1167
a,318681
N,13579
v,38588
"""",7528
~,88
.,82935
F,9031
😀,1
" ",881319
Y,1999
i,308267
D,7281
7,2311
ï,1
G,3173
",",50358
>,15666
?,876
ı,2
M,6999
s,302413
b,71738
